"account_handle","Country","V1","V2","V3","V4","V5","V6","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","total_emotion_score","norm_anger","norm_anticipation","norm_disgust","norm_fear","norm_joy","norm_sadness","norm_surprise","norm_trust","highly_emotional","emotion_1","emotion_2","emotion_3","emotion_4","emotion_5","emotion_6","emotion_7","emotion_8","dominant_topic","dominant_emotion"
"AbogadosAntifem","MX",1,5,6,4,2,7,212,143,145,247,119,204,73,259,463,398,1402,0.151212553495007,0.101997146932953,0.103423680456491,0.176176890156919,0.0848787446504993,0.145506419400856,0.0520684736091298,0.184736091298145,TRUE,"norm_trust","norm_fear","norm_anger","norm_sadness","norm_disgust","norm_anticipation","norm_joy","norm_surprise",1,"trust"
"AmisHijosNoLosTocas",NA,4,3,2,7,1,6,0,7,0,1,10,0,5,9,0,17,32,0,0.21875,0,0.03125,0.3125,0,0.15625,0.28125,FALSE,"norm_joy","norm_trust","norm_anticipation","norm_surprise","norm_fear","norm_anger","norm_disgust","norm_sadness",4,"joy"
"CONMISNINOSNO","CL",4,2,3,7,6,1,8,7,9,11,7,10,4,10,15,19,66,0.121212121212121,0.106060606060606,0.136363636363636,0.166666666666667,0.106060606060606,0.151515151515152,0.0606060606060606,0.151515151515152,FALSE,"norm_fear","norm_sadness","norm_trust","norm_disgust","norm_anger","norm_anticipation","norm_joy","norm_surprise",4,"fear"
"ColectivoAntifeminista","SV",6,5,4,1,7,2,73,47,52,80,42,68,23,89,160,138,474,0.154008438818565,0.0991561181434599,0.109704641350211,0.168776371308017,0.0886075949367089,0.143459915611814,0.0485232067510548,0.187763713080169,TRUE,"norm_trust","norm_fear","norm_anger","norm_sadness","norm_disgust","norm_anticipation","norm_joy","norm_surprise",6,"trust"
"ConMisHijosNoTeMetasOficial","PE",7,3,5,4,6,1,20,15,15,33,16,26,6,31,46,53,162,0.123456790123457,0.0925925925925926,0.0925925925925926,0.203703703703704,0.0987654320987654,0.160493827160494,0.037037037037037,0.191358024691358,FALSE,"norm_fear","norm_trust","norm_sadness","norm_anger","norm_joy","norm_anticipation","norm_disgust","norm_surprise",7,"fear"
"CristianosRechazanConstitucionNoMasideologiadegen","CL",7,2,3,4,1,6,17,30,11,29,18,22,4,48,41,63,179,0.0949720670391061,0.167597765363128,0.0614525139664804,0.162011173184358,0.100558659217877,0.122905027932961,0.0223463687150838,0.268156424581006,FALSE,"norm_trust","norm_anticipation","norm_fear","norm_sadness","norm_joy","norm_anger","norm_disgust","norm_surprise",7,"trust"
"DerechosDelHombrePorIgualdad","AR",4,7,6,3,5,2,106,83,80,111,64,102,43,130,220,214,719,0.147426981919332,0.115438108484006,0.111265646731572,0.154381084840056,0.0890125173852573,0.141863699582754,0.0598052851182197,0.180806675938804,TRUE,"norm_trust","norm_fear","norm_anger","norm_sadness","norm_anticipation","norm_disgust","norm_joy","norm_surprise",4,"trust"
"ElAntifeministaBAF","SV",6,3,4,5,2,7,4,2,3,4,1,3,1,5,6,6,23,0.173913043478261,0.0869565217391304,0.130434782608696,0.173913043478261,0.0434782608695652,0.130434782608696,0.0434782608695652,0.217391304347826,FALSE,"norm_trust","norm_anger","norm_fear","norm_disgust","norm_sadness","norm_anticipation","norm_joy","norm_surprise",6,"trust"
"ElPatriarcadoOpresor","CO",6,7,2,5,4,3,0,1,0,0,2,0,1,3,0,3,7,0,0.142857142857143,0,0,0.285714285714286,0,0.142857142857143,0.428571428571429,FALSE,"norm_trust","norm_joy","norm_anticipation","norm_surprise","norm_anger","norm_disgust","norm_fear","norm_sadness",6,"trust"
"FNXFSanMateoAtenco",NA,1,7,2,5,4,3,1,0,0,2,0,2,0,5,2,4,10,0.1,0,0,0.2,0,0.2,0,0.5,FALSE,"norm_trust","norm_fear","norm_sadness","norm_anger","norm_anticipation","norm_disgust","norm_joy","norm_surprise",1,"trust"
